Iteration,Pcal_bus1,Qcal_bus1,Voltage_bus32
1,0.0464735106959662,0.0256749048644975,0.913384177359399
2,0.0355380056296326,0.0259327781164789,0.928404392560488
3,0.0377535389341208,0.0239035981036961,0.922240200609085
4,0.0445124415903813,0.0246174704751452,0.9157458931951
5,0.0412293266334114,0.0202648305648552,0.92519095508164
6,0.040285001259706,0.0235726110139227,0.923118067199441
7,0.0372239829369221,0.0207743012277355,0.927065307618139
8,0.0415494317236753,0.0278273611576898,0.915176990399703
9,0.0397549467579701,0.0231186233761918,0.921634009039581
10,0.0458199820027758,0.0221507137646171,0.918837372739182
11,0.0366299103076653,0.0253393987159667,0.920103362898721
12,0.0345635989276758,0.0244671212430809,0.927029122648612
13,0.0387624555176931,0.0195650243876182,0.934845950687315
14,0.0316308233028568,0.0266287117825792,0.927816970521286
15,0.0388563227370113,0.0257035230175005,0.920165647587374
16,0.0425737425386394,0.0294196532957063,0.912456192353408
17,0.0436423662280987,0.0286356861632644,0.912603519986105
18,0.0414238141111021,0.028615786787979,0.918889697675348
19,0.0339556429512733,0.0274394689758717,0.925239570976811
20,0.0484152431783844,0.023579447037247,0.911192483214844
21,0.0345036862109129,0.0256685192986188,0.927772590443469
22,0.0411569938032308,0.026128530171853,0.917394374907358
23,0.0291201699482979,0.0263533240065907,0.936339914846118
24,0.0383837924268882,0.0229963080620257,0.927057825048682
25,0.037816596012874,0.0239460666270217,0.927836104784593
26,0.0374654149734752,0.0287501358960824,0.923250923602322
27,0.043149115652545,0.026179688694195,0.920076354941487
28,0.0326927104376242,0.0237292762827259,0.930988012965001
29,0.0417566361373023,0.0255204595517711,0.922681706846167
30,0.0404371376744415,0.0247079443245859,0.918885416295427
31,0.0441830189284325,0.0290520860768231,0.910168998436037
32,0.0393619686168289,0.0222884450074226,0.926788757674601
33,0.0368273558335623,0.0250181485614505,0.922151767707632
34,0.0434532647733494,0.0206315984876833,0.923990882422921
35,0.0367414820534187,0.0196504935887951,0.932431960368302
36,0.0380163689623778,0.0245573429553758,0.927308058911604
37,0.0388794150667184,0.0280090926911205,0.918570089466279
38,0.0393673728513626,0.0250671705050411,0.922761908230693
39,0.0382818001213465,0.0272549695081805,0.917981767464636
40,0.04195818745103,0.0243449126877415,0.919271599472572
41,0.0358027235259204,0.0206289072193,0.931314416032272
42,0.0396066562962627,0.026004252507045,0.919112442517009
43,0.0361512965553548,0.0242517806069804,0.93187020600515
44,0.0431793160466007,0.0228572328584411,0.920237347833374
45,0.0414033121572128,0.0198510912546777,0.922989256396985
46,0.0383021909350632,0.0286187561207445,0.91565825322768
47,0.0367106042910859,0.0243602012879647,0.925527394952699
48,0.0403517600080257,0.0238021031814775,0.920617571903556
49,0.0387910639400442,0.0268817687578675,0.916765237932495
50,0.0435892857963225,0.0275454254641891,0.914947661455782
51,0.0428819453902634,0.0212179939931385,0.92143701699113
52,0.0348116250364612,0.0240715459115828,0.927886458261726
53,0.037391531482367,0.0245072909568602,0.920805251289574
54,0.0382078296299682,0.0247729929834373,0.922231703148088
55,0.0367831872322153,0.0325271216565488,0.916659688457769
56,0.0440261220490559,0.024950907581589,0.914790181483103
